year,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044
1980,53,115.1,112.9,61.9,19.8,3.9
1981,52.2,112.2,111.5,61.4,20,3.8
1982,52.4,111.6,111,64.1,21.2,3.9
1983,51.4,107.8,108.5,64.9,22,3.9
1984,50.6,106.8,108.7,67,22.9,3.9
1985,51,108.3,111,69.1,24,4
1986,50.2,107.4,109.8,70.1,24.4,4.1
1987,50.6,107.9,111.6,72.1,26.3,4.4
1988,53,110.2,114.4,74.8,28.1,4.8
1989,57.3,113.8,117.6,77.4,29.9,5.2
1990,59.9,116.5,120.2,80.8,31.7,5.5
1991,61.8,115.3,117.2,79.2,31.9,5.5
1992,60.3,113.7,115.7,79.6,32.3,5.9
1993,59,111.3,113.2,79.9,32.7,6.1
1994,58.2,109.2,111,80.4,33.4,6.4
1995,56,107.5,108.8,81.1,34,6.6
1996,53.5,107.8,108.6,82.1,34.9,6.8
1997,51.3,107.3,108.3,83,35.7,7.1
1998,50.3,108.4,110.2,85.2,36.9,7.4
1999,48.8,107.9,111.2,87.1,37.8,7.4
2000,47.7,109.7,113.5,91.2,39.7,8
2001,45,105.6,113.8,91.8,40.5,8.1
2002,42.6,103.1,114.7,92.6,41.6,8.3
2003,41.1,102.3,116.7,95.7,43.9,8.7
2004,40.5,101.5,116.5,96.2,45.5,9
2005,39.7,101.8,116.5,96.7,46.4,9.1
2006,41.1,105.5,118,98.9,47.5,9.4
2007,41.5,105.4,118.1,100.6,47.6,9.6
2008,40.2,101.8,115,99.4,46.8,9.9
2009,37.9,96.2,111.5,97.5,46.1,10
2010,34.2,90,108.3,96.5,45.9,10.2
2011,31.3,85.3,107.2,96.5,47.2,10.3
2012,29.4,83.1,106.5,97.3,48.3,10.4
2013,26.5,80.7,105.5,98,49.3,10.4
2014,24.2,79,105.8,100.8,51,10.6
2015,22.3,76.8,104.3,101.5,51.8,11
2016,20.3,73.8,102.1,102.7,52.7,11.4
2017,18.8,71,98,100.3,52.3,11.6
2018,17.4,68,95.3,99.7,52.6,11.8
2019,16.7,66.6,93.7,98.3,52.8,12
2020,15.3,62.8,90,94.8,51.7,11.8
